code_id,threshold,synthetic_recoveries,synthetic_trials,synthetic_recovery_fraction,background_events,exposure_hours,false_events_per_hour,engineering_check_only
sync8_c0,0.45,2505,2563,0.9773702692157628,18968,177.1327777777778,107.08351236831128,True
sync8_c0,0.455,2501,2563,0.9758095981271947,18006,177.1327777777778,101.65255818767466,True
sync8_c0,0.46,2500,2563,0.9754194303550526,17042,177.1327777777778,96.21031304200552,True
sync8_c0,0.465,2500,2563,0.9754194303550526,16123,177.1327777777778,91.02211460956784,True
sync8_c0,0.47000000000000003,2500,2563,0.9754194303550526,15192,177.1327777777778,85.76617038693509,True
sync8_c0,0.47500000000000003,2496,2563,0.9738587592664846,14292,177.1327777777778,80.68523612230624,True
sync8_c0,0.48000000000000004,2492,2563,0.9722980881779165,13388,177.1327777777778,75.58171992761237,True
sync8_c0,0.48500000000000004,2490,2563,0.9715177526336325,12518,177.1327777777778,70.67015013847113,True
sync8_c0,0.49000000000000005,2487,2563,0.9703472493172064,11678,177.1327777777778,65.92794482481753,True
sync8_c0,0.49500000000000005,2483,2563,0.9687865782286383,10890,177.1327777777778,61.47930460200916,True
sync8_c0,0.5,2476,2563,0.9660554038236442,10097,177.1327777777778,57.00243696661951,True
sync8_c0,0.5050000000000001,2472,2563,0.9644947327350761,9330,177.1327777777778,52.67235187665248,True
sync8_c0,0.51,2465,2563,0.961763558330082,8590,177.1327777777778,48.4946948146243,True
sync8_c0,0.5150000000000001,2462,2563,0.9605930550136559,7945,177.1327777777778,44.853358591640294,True
sync8_c0,0.52,2454,2563,0.9574717128365197,7299,177.1327777777778,41.20637688614002,True
sync8_c0,0.5250000000000001,2451,2563,0.9563012095200937,6706,177.1327777777778,37.85860575400123,True
sync8_c0,0.53,2449,2563,0.9555208739758096,6121,177.1327777777778,34.555998481992475,True
sync8_c0,0.5350000000000001,2443,2563,0.9531798673429575,5608,177.1327777777778,31.65986595115403,True
sync8_c0,0.54,2438,2563,0.9512290284822473,5131,177.1327777777778,28.966970790900735,True
sync8_c0,0.5450000000000002,2432,2563,0.9488880218493952,4670,177.1327777777778,26.36440335090751,True
sync8_c0,0.55,2429,2563,0.9477175185329691,4243,177.1327777777778,23.95378231646693,True
sync8_c0,0.5550000000000002,2426,2563,0.9465470152165432,3879,177.1327777777778,21.89882668055037,True
sync8_c0,0.56,2425,2563,0.9461568474444011,3524,177.1327777777778,19.8946803872801,True
sync8_c0,0.5650000000000002,2424,2563,0.945766679672259,3171,177.1327777777778,17.901825059042338,True
sync8_c0,0.5700000000000001,2419,2563,0.943815840811549,2883,177.1327777777778,16.275926094361104,True
sync8_c0,0.5750000000000002,2412,2563,0.9410846664065549,2602,177.1327777777778,14.68954550729365,True
sync8_c0,0.5800000000000001,2408,2563,0.9395239953179867,2357,177.1327777777778,13.306402290811349,True
sync8_c0,0.5850000000000002,2404,2563,0.9379633242294186,2132,177.1327777777778,12.036168724654136,True
sync8_c0,0.5900000000000001,2399,2563,0.9360124853687085,1904,177.1327777777778,10.748998710948158,True
sync8_c0,0.5950000000000002,2395,2563,0.9344518142801405,1696,177.1327777777778,9.574738347567267,True
sync8_c0,0.6000000000000001,2390,2563,0.9325009754194303,1497,177.1327777777778,8.451287326832665,True
sync8_c0,0.6050000000000002,2387,2563,0.9313304721030042,1350,177.1327777777778,7.621401396943284,True
sync8_c0,0.6100000000000001,2382,2563,0.9293796332422942,1177,177.1327777777778,6.644732921631293,True
sync8_c0,0.6150000000000002,2374,2563,0.926258291065158,1038,177.1327777777778,5.860010851871947,True
sync8_c0,0.6200000000000001,2369,2563,0.9243074522044479,931,177.1327777777778,5.255944222632739,True
sync8_c0,0.6250000000000002,2358,2563,0.9200156067108857,827,177.1327777777778,4.668814040942293,True
sync8_c0,0.6300000000000001,2356,2563,0.9192352711666016,747,177.1327777777778,4.2171754396419505,True
sync8_c0,0.6350000000000002,2348,2563,0.9161139289894654,662,177.1327777777778,3.7373094257603365,True
sync8_c0,0.6400000000000001,2338,2563,0.9122122512680453,592,177.1327777777778,3.3421256496225364,True
sync8_c0,0.6450000000000002,2333,2563,0.9102614124073352,523,177.1327777777778,2.9525873560009908,True
sync8_c0,0.6500000000000001,2326,2563,0.907530238002341,449,177.1327777777778,2.534821649798174,True
sync8_c0,0.6550000000000002,2319,2563,0.9047990635973469,395,177.1327777777778,2.2299655939204426,True
sync8_c0,0.6600000000000001,2312,2563,0.9020678891923527,345,177.1327777777778,1.9476914681077282,True
sync8_c0,0.6650000000000003,2304,2563,0.8989465470152166,306,177.1327777777778,1.7275176499738112,True
sync8_c0,0.6700000000000002,2290,2563,0.8934841982052283,265,177.1327777777778,1.4960528668073854,True
sync8_c0,0.6750000000000003,2279,2563,0.889192352711666,222,177.1327777777778,1.2532971186084512,True
sync8_c0,0.6800000000000002,2274,2563,0.887241513850956,192,177.1327777777778,1.0839326431208227,True
sync8_c0,0.6850000000000003,2263,2563,0.8829496683573936,165,177.1327777777778,0.9315046151819569,True
sync8_c0,0.6900000000000002,2257,2563,0.8806086617245416,137,177.1327777777778,0.773431104726837,True
sync8_c0,0.6950000000000003,2249,2563,0.8774873195474053,116,177.1327777777778,0.6548759718854971,True
sync8_c0,0.7000000000000002,2244,2563,0.8755364806866953,96,177.1327777777778,0.5419663215604114,True
sync8_c0,0.7050000000000003,2230,2563,0.870074131876707,79,177.1327777777778,0.4459931187840885,True
sync8_c0,0.7100000000000002,2221,2563,0.8665626219274288,65,177.1327777777778,0.3669563635565285,True
sync8_c0,0.7150000000000003,2216,2563,0.8646117830667187,58,177.1327777777778,0.32743798594274853,True
sync8_c0,0.7200000000000002,2208,2563,0.8614904408895825,48,177.1327777777778,0.2709831607802057,True
sync8_c0,0.7250000000000003,2196,2563,0.8568084276238783,40,177.1327777777778,0.2258193006501714,True
sync8_c0,0.7300000000000002,2182,2563,0.85134607881389,34,177.1327777777778,0.1919464055526457,True
sync8_c0,0.7350000000000003,2171,2563,0.8470542333203277,30,177.1327777777778,0.16936447548762854,True
sync8_c0,0.7400000000000002,2152,2563,0.8396410456496294,26,177.1327777777778,0.1467825454226114,True
sync8_c0,0.7450000000000003,2140,2563,0.8349590323839251,24,177.1327777777778,0.13549158039010284,True
sync8_c0,0.7500000000000002,2129,2563,0.8306671868903629,20,177.1327777777778,0.1129096503250857,True
sync8_c0,0.7550000000000003,2121,2563,0.8275458447132267,16,177.1327777777778,0.09032772026006855,True
sync8_c0,0.7600000000000002,2106,2563,0.8216933281310964,11,177.1327777777778,0.06210030767879713,True
sync8_c0,0.7650000000000003,2090,2563,0.8154506437768241,8,177.1327777777778,0.045163860130034275,True
sync8_c0,0.7700000000000002,2077,2563,0.8103784627389777,5,177.1327777777778,0.028227412581271424,True
sync8_c0,0.7750000000000004,2054,2563,0.8014046039797112,3,177.1327777777778,0.016936447548762855,True
sync8_c0,0.7800000000000002,2043,2563,0.797112758486149,3,177.1327777777778,0.016936447548762855,True
sync8_c0,0.7850000000000004,2026,2563,0.7904799063597346,2,177.1327777777778,0.011290965032508569,True
sync8_c0,0.7900000000000003,2013,2563,0.7854077253218884,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.7950000000000004,1996,2563,0.778774873195474,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8000000000000003,1977,2563,0.7713616855247757,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8050000000000004,1957,2563,0.7635583300819352,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8100000000000003,1934,2563,0.7545844713226687,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8150000000000004,1904,2563,0.7428794381584081,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8200000000000003,1873,2563,0.7307842372220055,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8250000000000004,1840,2563,0.7179087007413187,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8300000000000003,1812,2563,0.7069840031213421,1,177.1327777777778,0.005645482516254284,True
sync8_c0,0.8350000000000004,1781,2563,0.6948888021849395,0,177.1327777777778,0.0,True
sync8_c0,0.8400000000000003,1742,2563,0.6796722590714007,0,177.1327777777778,0.0,True
sync8_c0,0.8450000000000004,1694,2563,0.6609442060085837,0,177.1327777777778,0.0,True
sync8_c0,0.8500000000000003,1654,2563,0.6453374951229028,0,177.1327777777778,0.0,True
sync8_c0,0.8550000000000004,1607,2563,0.6269996098322279,0,177.1327777777778,0.0,True
sync8_c0,0.8600000000000003,1562,2563,0.6094420600858369,0,177.1327777777778,0.0,True
sync8_c0,0.8650000000000004,1500,2563,0.5852516582130316,0,177.1327777777778,0.0,True
sync8_c0,0.8700000000000003,1429,2563,0.5575497463909481,0,177.1327777777778,0.0,True
sync8_c0,0.8750000000000004,1365,2563,0.5325790089738588,0,177.1327777777778,0.0,True
sync8_c0,0.8800000000000003,1302,2563,0.5079984393289114,0,177.1327777777778,0.0,True
sync8_c0,0.8850000000000005,1226,2563,0.4783456886461178,0,177.1327777777778,0.0,True
sync8_c0,0.8900000000000003,1137,2563,0.443620756925478,0,177.1327777777778,0.0,True
sync8_c0,0.8950000000000005,1043,2563,0.40694498634412796,0,177.1327777777778,0.0,True
sync8_c0,0.9000000000000004,955,2563,0.37261022239563013,0,177.1327777777778,0.0,True
sync8_c0,0.9050000000000005,859,2563,0.3351541162699961,0,177.1327777777778,0.0,True
sync8_c0,0.9100000000000004,770,2563,0.30042918454935624,0,177.1327777777778,0.0,True
