requested_recovery_fraction,estimate,lower,upper,candidate_threshold,control_threshold,candidate_rate,control_rate,candidate_events,control_events,candidate_recovery,control_recovery,replicates,participants,rate_ratio,statistical_superiority,practical_advance_gate,engineering_check_only
0.85,0.10161868529257716,-0.005361760356758816,0.18625414926658362,0.7307580733685104,0.738835586829933,0.19194640555264572,0.09032772026006856,34,16,0.8501755754974639,0.8501755754974639,50000,66,2.1250000000000004,False,False,True
0.9,0.1298460978738487,-1.1485993382792419,1.102181855951403,0.6629899446887014,0.6391164232167129,1.8234908527501343,1.6936447548762856,323,300,0.9001170503316426,0.9001170503316426,50000,66,1.0766666666666667,False,False,True
0.95,-25.415962288176793,-48.24761792241485,-4.372556781310869,0.5434436373792657,0.4520665808644019,27.154770903183113,52.570733191359906,4810,9312,0.9500585251658213,0.9500585251658213,50000,66,0.5165378006872853,True,True,True
