requested_recovery_fraction,matched_recoveries,matched_trials,matched_recovery_fraction,candidate_code_id,candidate_threshold,candidate_calibration_recoveries,candidate_calibration_recovery_fraction,candidate_storage_floor,control_code_id,control_threshold,control_calibration_recoveries,control_calibration_recovery_fraction,control_storage_floor,amplitude_mad,interval_jitter_fraction,scope
0.85,2179,2563,0.8501755754974639,sync8_c0,0.7307580733685104,2179,0.8501755754974639,0.0,iso8_matched,0.738835586829933,2179,0.8501755754974639,0.0,4.0,0.15,rem
0.9,2307,2563,0.9001170503316426,sync8_c0,0.6629899446887014,2307,0.9001170503316426,0.0,iso8_matched,0.6391164232167129,2307,0.9001170503316426,0.0,4.0,0.15,rem
0.95,2435,2563,0.9500585251658213,sync8_c0,0.5434436373792657,2435,0.9500585251658213,0.0,iso8_matched,0.4520665808644019,2435,0.9500585251658213,0.0,4.0,0.15,rem
