dataset_role,dataset_label,operating_point,requested_recovery_fraction,matched_calibration_recoveries,matched_calibration_trials,matched_calibration_recovery_fraction,code_role,code_id,threshold,background_storage_floor,synthetic_recoveries,synthetic_trials,synthetic_recovery_fraction,synthetic_exact_lower,synthetic_exact_upper,background_scope,background_events,exposure_hours,false_events_per_hour,poisson_lower_per_hour,poisson_upper_per_hour,engineering_check_only
external_95_primary,sleep_edf_st_placebo,0,0.95,418,440,0.95,candidate,sync8_c0,0.5329314056151196,0.0,418,440,0.95,0.9252754382902987,0.9684035595162972,rem,308,34.23722222222222,8.996056923101888,8.019327430369076,10.05894042977693,True
external_95_primary,sleep_edf_st_placebo,0,0.95,418,440,0.95,control,iso8_matched,0.490856312909755,0.0,418,440,0.95,0.9252754382902987,0.9684035595162972,rem,321,34.23722222222222,9.375760624401643,8.378042153132633,10.459600316813184,True
